iter	Passed	Remaining
0	44	442951
1	92	460058
2	140	469727
3	186	465774
4	233	467006
5	281	468906
6	330	471571
7	376	469927
8	424	471027
9	473	472858
10	521	473375
11	573	477188
12	622	478044
13	669	477774
14	721	480201
15	772	481978
16	825	484572
17	875	485615
18	919	483258
19	969	483884
20	1018	484179
21	1066	483663
22	1113	483205
23	1162	483418
24	1209	482771
25	1259	483194
26	1307	482780
27	1356	483140
28	1406	483645
29	1455	483601
30	1503	483337
31	1554	484159
32	1605	484933
33	1657	485961
34	1712	487579
35	1763	488179
36	1810	487420
37	1856	486573
38	1906	486849
39	1952	486050
40	1994	484574
41	2041	483940
42	2086	483163
43	2130	482021
44	2173	480811
45	2220	480586
46	2268	480315
47	2313	479595
48	2358	478875
49	2402	478130
50	2450	478013
51	2497	477702
52	2541	477028
53	2584	476118
54	2631	475752
55	2676	475240
56	2721	474648
57	2767	474326
58	2819	475027
59	2866	474885
60	2911	474305
61	2955	473781
62	3007	474399
63	3058	474811
64	3104	474574
65	3148	473948
66	3192	473241
67	3241	473449
68	3285	472852
69	3329	472297
70	3372	471689
71	3416	471038
72	3463	470924
73	3508	470606
74	3561	471271
75	3611	471601
76	3654	470988
77	3696	470210
78	3738	469534
79	3781	468916
80	3836	469763
81	3881	469460
82	3925	469015
83	3967	468378
84	4010	467843
85	4055	467503
