;length;word_count;has_script;has_on_event;has_alert;has_prompt;has_confirm;has_console;has_javascript;has_vbscript;has_document;has_window;has_inner_html;has_outer_html;has_iframe;has_svg;has_dangerous_js;quote_count;equals_count;sum_count;has_url_encoding;has_html_entities;has_hex_encoding;has_unicode;tag_count;attribute_count;entropy;is_inside_quotes;has_nested_tags
0;557;88;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;26;13;0;0;1;0;0;8;13;4.987488619571519;1;0
1;36;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;1;3.9919702248710145;0;0
2;233;33;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1;12;4;0;0;0;0;0;4;4;4.731424040931746;1;0
3;395;51;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;16;7;0;0;0;0;0;9;7;4.733918941557947;1;0
4;422;65;1;0;1;1;1;1;0;0;0;1;1;0;1;1;1;18;9;0;1;0;0;0;8;9;5.157653921259351;1;0
5;93;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;6;3;4.646122590832197;1;0
6;80;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;4;2;4.296762239033051;1;0
7;244;36;1;0;1;1;0;1;0;0;1;0;0;0;0;0;1;8;4;0;0;0;0;0;18;4;4.681291981790325;1;0
8;57;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.4050991723181765;1;0
9;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.169925001442312;0;0
10;94;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;1;0;0;0;3;2;4.76944291114396;1;0
11;56;11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;3;4.412016252639432;0;0
12;55;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.2133809688423405;1;0
13;45;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;4.214432130654918;0;0
14;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.169925001442312;0;0
15;98;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;3;2;4.873460262978111;1;0
16;79;13;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;3;4;4.365154921078738;0;0
17;43;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;1;4.0480990586825625;0;0
18;34;6;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;1;4.116299605701696;0;0
19;101;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;2;0;0;0;0;0;4;2;4.196447272194345;1;0
20;52;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;4.308814180129548;0;0
21;380;55;1;0;1;1;1;1;0;0;0;1;1;0;1;0;1;16;7;0;0;0;0;0;9;7;4.7618507653435485;1;0
22;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.584962500721156;0;0
23;56;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;3;4.26443299359496;0;0
24;41;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;3;4.238666566058884;0;0
25;43;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.324309452719443;0;0
26;110;14;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;4;2;0;0;0;0;0;4;2;4.462220416473103;1;0
27;111;15;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;4;2;4.359490580897323;0;0
28;98;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;3;2;4.873460262978111;1;0
29;906;143;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;24;23;6;1;0;0;0;15;23;5.3626829499897335;1;0
30;59;7;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.223093846001926;0;0
31;331;47;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;14;6;0;0;0;0;0;5;6;5.058855000465158;1;0
32;166;20;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;4;2;0;0;0;0;0;4;2;4.413784295159678;1;0
33;53;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.1680896156375935;1;0
34;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.169925001442312;0;0
35;72;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;5;1;4.725616933636191;0;0
36;70;11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;3;4.454992167287281;0;0
37;95;13;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;4;2;4.424964888406127;1;0
38;58;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.1891191413435855;1;0
