iter	Passed	Remaining
0	50	507362
1	102	511594
2	153	510176
3	203	507474
4	253	506472
5	307	512806
6	361	516686
7	413	516843
8	465	517268
9	519	518657
10	567	515611
11	622	517938
12	682	524701
13	740	528230
14	791	526550
15	844	527106
16	900	529096
17	953	528676
18	1008	529836
19	1059	528746
20	1107	526224
21	1155	524004
22	1212	526094
23	1267	526653
24	1319	526653
25	1376	528235
26	1430	528568
27	1481	527618
28	1531	526531
29	1578	524696
30	1626	523120
31	1677	522653
32	1731	523115
33	1784	523095
34	1834	522283
35	1884	521692
36	1931	520225
37	1978	518743
38	2025	517454
39	2071	515732
40	2119	514869
41	2166	513664
42	2215	513024
43	2262	511879
44	2306	510340
45	2352	509135
46	2400	508240
47	2448	507705
48	2502	508251
49	2547	506977
50	2595	506287
51	2653	507626
52	2701	507029
53	2749	506420
54	2804	507021
55	2856	507156
56	2903	506517
57	2955	506572
58	3001	505656
59	3049	505240
60	3096	504541
61	3156	505941
62	3202	505175
63	3248	504265
64	3293	503447
65	3338	502432
66	3383	501640
67	3437	502107
68	3487	502013
69	3534	501394
70	3583	501103
71	3637	501612
72	3690	501849
73	3740	501757
74	3789	501416
75	3837	501104
76	3883	500424
77	3931	500102
78	3974	499126
79	4019	498459
80	4066	498008
81	4114	497695
82	4163	497484
83	4208	496841
84	4256	496481
85	4303	496061
86	4350	495695
87	4400	495689
88	4442	494674
89	4489	494377
90	4534	493753
91	4583	493573
92	4630	493220
93	4677	492973
94	4722	492363
95	4773	492480
96	4820	492093
97	4868	491965
98	4912	491272
99	4957	490778
100	5003	490436
101	5048	489923
102	5093	489450
103	5139	489025
104	5188	488977
105	5234	488587
106	5282	488455
107	5326	487908
108	5371	487427
109	5415	486889
110	5460	486489
111	5509	486433
112	5560	486511
113	5611	486591
114	5654	486070
115	5699	485624
116	5752	485875
