iter	Passed	Remaining
0	58	589926
1	103	518337
2	155	518973
3	203	509198
4	251	502763
5	297	495754
6	346	494218
7	399	498651
8	453	503400
9	508	507789
10	565	513461
11	617	514214
12	667	512891
13	716	511365
14	769	511977
15	817	510290
16	865	508340
17	920	510557
18	970	509708
19	1021	509717
20	1071	509324
21	1119	507865
22	1170	507668
23	1220	507168
24	1271	507249
25	1322	507282
26	1379	509476
27	1430	509588
28	1479	508647
29	1526	507427
30	1578	507511
31	1628	507304
32	1676	506477
33	1723	505184
34	1776	505902
35	1825	505230
36	1871	504062
37	1917	502569
38	1963	501427
39	2012	501110
40	2060	500574
41	2109	500226
42	2154	498899
43	2201	498073
44	2249	497580
45	2295	496640
46	2345	496688
47	2398	497279
48	2448	497322
49	2496	496787
50	2546	496695
51	2593	496151
52	2642	495890
53	2689	495326
54	2738	495119
55	2789	495290
56	2838	495211
57	2883	494256
58	2932	494048
59	2982	494038
60	3026	493136
61	3075	493034
62	3121	492365
63	3171	492437
64	3219	492122
65	3263	491218
66	3306	490271
67	3352	489727
68	3399	489278
69	3445	488721
70	3488	487804
71	3532	487142
72	3585	487538
73	3628	486711
74	3678	486791
75	3722	486070
76	3767	485453
77	3813	485150
78	3864	485318
79	3909	484835
80	3955	484394
81	4000	483897
82	4047	483545
83	4093	483234
84	4137	482635
85	4182	482212
86	4229	481873
87	4273	481374
88	4320	481105
89	4367	480857
90	4412	480512
91	4460	480412
92	4511	480623
93	4561	480732
94	4608	480493
95	4660	480810
96	4708	480689
97	4761	481130
98	4813	481403
99	4858	481020
